method,legacy_host,legacy_path,target_host,target_path,compatibility_mode,preserve_query,preserve_body,preserve_status_and_error,status
GET,teleautomation.online,/,business.teleautomation.online,/api/,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/ai/daily-briefing,business.teleautomation.online,/api/ai/daily-briefing,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/ai/daily-briefing/refresh,business.teleautomation.online,/api/ai/daily-briefing/refresh,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/ai-recruitment/config,business.teleautomation.online,/api/ai-recruitment/config,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/ai-recruitment/dashboard,business.teleautomation.online,/api/ai-recruitment/dashboard,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/ai-recruitment/events/{event_id},business.teleautomation.online,/api/ai-recruitment/events/{event_id},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/api/ai-recruitment/events/{event_id},business.teleautomation.online,/api/ai-recruitment/events/{event_id},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/ai-recruitment/events/{event_id}/{action},business.teleautomation.online,/api/ai-recruitment/events/{event_id}/{action},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/ai-recruitment/metrics,business.teleautomation.online,/api/ai-recruitment/metrics,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/ai-recruitment/ollama/status,business.teleautomation.online,/api/ai-recruitment/ollama/status,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/ai-recruitment/ollama/test-connection,business.teleautomation.online,/api/ai-recruitment/ollama/test-connection,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/ai-recruitment/ollama/test-model,business.teleautomation.online,/api/ai-recruitment/ollama/test-model,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/ai-recruitment/review,business.teleautomation.online,/api/ai-recruitment/review,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/candidate-mailboxes/bulk-import,business.teleautomation.online,/api/candidate-mailboxes/bulk-import,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/candidate-mailboxes/oauth/google/callback,business.teleautomation.online,/api/candidate-mailboxes/oauth/google/callback,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/api/candidates/{candidate_id}/mailbox,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/candidates/{candidate_id}/mailbox,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/candidates/{candidate_id}/mailbox/connect,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox/connect,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/candidates/{candidate_id}/mailbox/renew-watch,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox/renew-watch,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/candidates/{candidate_id}/mailbox/rescan,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox/rescan,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/api/candidates/{candidate_id}/mailbox/settings,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox/settings,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/candidates/{candidate_id}/mailbox/sync,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox/sync,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/candidates/{candidate_id}/mailbox/verify,business.teleautomation.online,/api/candidates/{candidate_id}/mailbox/verify,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/candidates/{candidate_id}/recruitment-events,business.teleautomation.online,/api/candidates/{candidate_id}/recruitment-events,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/candidates/{candidate_id}/recruitment-timeline,business.teleautomation.online,/api/candidates/{candidate_id}/recruitment-timeline,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/gmail/pubsub/push,business.teleautomation.online,/api/gmail/pubsub/push,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/mail-monitoring/booking-audit,business.teleautomation.online,/api/mail-monitoring/booking-audit,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/mail-monitoring/events,business.teleautomation.online,/api/mail-monitoring/events,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/mail-monitoring/notifications,business.teleautomation.online,/api/mail-monitoring/notifications,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/mail-monitoring/notifications/{notification_id}/{action},business.teleautomation.online,/api/mail-monitoring/notifications/{notification_id}/{action},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/mail-monitoring/summary,business.teleautomation.online,/api/mail-monitoring/summary,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/offer-verification,business.teleautomation.online,/api/offer-verification,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/offer-verification/{case_id},business.teleautomation.online,/api/offer-verification/{case_id},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/api/offer-verification/{case_id}/{action},business.teleautomation.online,/api/offer-verification/{case_id}/{action},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/api/selection-tracking/stats,business.teleautomation.online,/api/selection-tracking/stats,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/auth/change-password,business.teleautomation.online,/api/auth/change-password,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/auth/handler-kit,business.teleautomation.online,/api/auth/handler-kit,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/auth/login,business.teleautomation.online,/api/auth/login,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/auth/logout,business.teleautomation.online,/api/auth/logout,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/auth/reset-password,business.teleautomation.online,/api/auth/reset-password,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/auth/status,business.teleautomation.online,/api/auth/status,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/auth/verify-admin,business.teleautomation.online,/api/auth/verify-admin,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates,business.teleautomation.online,/api/candidates,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/candidates,business.teleautomation.online,/api/candidates,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/bootstrap,business.teleautomation.online,/api/candidates/bootstrap,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/interviews/daily,business.teleautomation.online,/api/candidates/interviews/daily,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/interviews/filter-options,business.teleautomation.online,/api/candidates/interviews/filter-options,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/interviews/global,business.teleautomation.online,/api/candidates/interviews/global,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/interviews/monitor,business.teleautomation.online,/api/candidates/interviews/monitor,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/candidates/interviews/slots,business.teleautomation.online,/api/candidates/interviews/slots,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
