method,legacy_path,adapter,status
GET,/ai/daily-briefing,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/ai/daily-briefing/refresh,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/ai-recruitment/config,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/ai-recruitment/dashboard,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/ai-recruitment/events/{event_id},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/api/ai-recruitment/events/{event_id},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/ai-recruitment/events/{event_id}/{action},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/ai-recruitment/metrics,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/ai-recruitment/ollama/status,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/ai-recruitment/ollama/test-connection,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/ai-recruitment/ollama/test-model,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/ai-recruitment/review,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/candidate-mailboxes/bulk-import,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/candidate-mailboxes/oauth/google/callback,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/api/candidates/{candidate_id}/mailbox,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/candidates/{candidate_id}/mailbox,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/candidates/{candidate_id}/mailbox/connect,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/candidates/{candidate_id}/mailbox/renew-watch,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/candidates/{candidate_id}/mailbox/rescan,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/api/candidates/{candidate_id}/mailbox/settings,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/candidates/{candidate_id}/mailbox/sync,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/candidates/{candidate_id}/mailbox/verify,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/candidates/{candidate_id}/recruitment-events,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/candidates/{candidate_id}/recruitment-timeline,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/gmail/pubsub/push,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/mail-monitoring/booking-audit,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/mail-monitoring/events,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
